020-07-29 16:36:04,731 [main] INFO OrangeHRM - URL is opened
2020-08-03 23:18:23,684 [main] INFO OrangeHRM - User name is provided
2020-08-03 23:18:23,764 [main] INFO OrangeHRM - Password is provided
2020-08-03 23:18:27,359 [main] INFO OrangeHRM - User name is provided
2020-08-03 23:18:27,444 [main] INFO OrangeHRM - Password is provided
2020-08-03 23:18:31,723 [main] INFO OrangeHRM - Login Passed
2020-08-03 23:18:35,741 [main] INFO OrangeHRM - User name is provided
2020-08-03 23:18:35,818 [main] INFO OrangeHRM - Password is provided
2020-08-03 23:18:39,401 [main] INFO OrangeHRM - User name is provided
2020-08-03 23:18:39,475 [main] INFO OrangeHRM - Password is provided
2020-08-03 23:18:51,277 [main] INFO OrangeHRM - Username Provided
2020-08-03 23:18:51,366 [main] INFO OrangeHRM - Password Provided
2020-08-03 23:21:49,399 [main] INFO OrangeHRM - Username Provided
2020-08-03 23:21:49,493 [main] INFO OrangeHRM - Password Provided
2020-08-03 23:21:57,278 [main] INFO OrangeHRM - Click on Edit Button
2020-08-03 23:21:57,434 [main] INFO OrangeHRM - Enter first name
2020-08-03 23:21:57,569 [main] INFO OrangeHRM - Enter last name
2020-08-03 23:21:57,697 [main] INFO OrangeHRM - Insert ID
2020-08-03 23:21:57,921 [main] INFO OrangeHRM - Data is inserting
2020-08-03 23:21:57,997 [main] INFO OrangeHRM - Gender is Choosing
2020-08-03 23:21:58,073 [main] INFO OrangeHRM - Choose Material status
2020-08-03 23:21:58,139 [main] INFO OrangeHRM - Choose Nationality
2020-08-03 23:21:59,989 [main] INFO OrangeHRM - Save Sucessfully
2020-08-03 23:21:59,999 [main] INFO OrangeHRM - Test is passed
2020-08-03 23:22:42,471 [main] INFO OrangeHRM - URL is opened
2020-08-03 23:22:44,723 [main] INFO OrangeHRM - Entered Username
2020-08-03 23:22:44,812 [main] INFO OrangeHRM - Entered Password
2020-08-03 23:22:46,689 [main] INFO OrangeHRM - Test is passed
2020-08-03 23:22:55,703 [main] INFO OrangeHRM - User name is provided
2020-08-03 23:22:55,794 [main] INFO OrangeHRM - Password is provided
2020-08-03 23:23:00,485 [main] INFO OrangeHRM - Login Passed
2020-08-03 23:23:04,579 [main] INFO OrangeHRM - User name is provided
2020-08-03 23:23:04,651 [main] INFO OrangeHRM - Password is provided
2020-08-03 23:23:08,296 [main] INFO OrangeHRM - User name is provided
2020-08-03 23:23:08,373 [main] INFO OrangeHRM - Password is provided
2020-08-03 23:23:11,928 [main] INFO OrangeHRM - User name is provided
2020-08-03 23:23:12,006 [main] INFO OrangeHRM - Password is provided
2020-08-03 23:23:16,209 [main] INFO OrangeHRM - Login Passed
2020-08-03 23:23:20,298 [main] INFO OrangeHRM - User name is provided
2020-08-03 23:23:20,374 [main] INFO OrangeHRM - Password is provided
2020-08-03 23:23:23,957 [main] INFO OrangeHRM - User name is provided
2020-08-03 23:23:24,031 [main] INFO OrangeHRM - Password is provided
2020-08-03 23:23:35,556 [main] INFO OrangeHRM - Username Provided
2020-08-03 23:23:35,643 [main] INFO OrangeHRM - Password Provided
2020-08-03 23:23:42,935 [main] INFO OrangeHRM - Click on Edit Button
2020-08-03 23:23:43,078 [main] INFO OrangeHRM - Enter first name
2020-08-03 23:23:43,204 [main] INFO OrangeHRM - Enter last name
2020-08-03 23:23:43,320 [main] INFO OrangeHRM - Insert ID
2020-08-03 23:23:43,548 [main] INFO OrangeHRM - Data is inserting
2020-08-03 23:23:43,639 [main] INFO OrangeHRM - Gender is Choosing
2020-08-03 23:23:43,714 [main] INFO OrangeHRM - Choose Material status
2020-08-03 23:23:43,776 [main] INFO OrangeHRM - Choose Nationality
2020-08-03 23:23:45,291 [main] INFO OrangeHRM - Save Sucessfully
2020-08-03 23:23:45,297 [main] INFO OrangeHRM - Test is passed
2020-08-04 20:47:13,292 [main] INFO OrangeHRM - URL is opened
2020-08-04 20:47:15,670 [main] INFO OrangeHRM - Entered Username
2020-08-04 20:47:15,763 [main] INFO OrangeHRM - Entered Password
2020-08-04 20:47:17,721 [main] INFO OrangeHRM - Test is passed
2020-08-04 20:47:26,247 [main] INFO OrangeHRM - User name is provided
2020-08-04 20:47:26,348 [main] INFO OrangeHRM - Password is provided
2020-08-04 20:47:31,295 [main] INFO OrangeHRM - Login Passed
2020-08-04 20:47:35,893 [main] INFO OrangeHRM - User name is provided
2020-08-04 20:47:35,969 [main] INFO OrangeHRM - Password is provided
2020-08-04 20:47:39,781 [main] INFO OrangeHRM - User name is provided
2020-08-04 20:47:39,857 [main] INFO OrangeHRM - Password is provided
2020-08-04 20:47:43,463 [main] INFO OrangeHRM - User name is provided
2020-08-04 20:47:43,544 [main] INFO OrangeHRM - Password is provided
2020-08-04 20:47:48,073 [main] INFO OrangeHRM - Login Passed
2020-08-04 20:47:52,208 [main] INFO OrangeHRM - User name is provided
2020-08-04 20:47:52,296 [main] INFO OrangeHRM - Password is provided
2020-08-04 20:47:56,042 [main] INFO OrangeHRM - User name is provided
2020-08-04 20:47:56,117 [main] INFO OrangeHRM - Password is provided
2020-08-04 20:48:06,712 [main] INFO OrangeHRM - Username Provided
2020-08-04 20:48:06,801 [main] INFO OrangeHRM - Password Provided
2020-08-04 20:48:13,755 [main] INFO OrangeHRM - Click on Edit Button
2020-08-04 20:48:13,926 [main] INFO OrangeHRM - Enter first name
2020-08-04 20:48:14,053 [main] INFO OrangeHRM - Enter last name
